Count,Filename_0_0,Filename_0_1,Time_0_0,Time_0_1
0,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000000_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000000_1.tif,85.8695,85.8694
1,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000001_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000001_1.tif,86.8188,86.8197
2,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000002_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000002_1.tif,87.5697,87.5687
3,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000003_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000003_1.tif,88.1193,88.1194
4,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000004_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000004_1.tif,88.6697,88.6688
5,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000005_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000005_1.tif,89.1696,89.1695
6,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000006_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000006_1.tif,90.9697,90.9696
7,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000007_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000007_1.tif,92.2692,92.2692
8,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000008_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000008_1.tif,92.3193,92.3193
9,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000009_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000009_1.tif,93.6196,93.6197
10,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000010_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000010_1.tif,94.6189,94.6189
11,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000011_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000011_1.tif,95.4696,95.4696
12,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000012_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000012_1.tif,96.2695,96.2695
13,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000013_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000013_1.tif,97.1194,97.1193
14,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000014_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000014_1.tif,98.0697,98.0697
15,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000015_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000015_1.tif,98.8196,98.8197
16,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000016_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000016_1.tif,99.8690,99.8700
17,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000017_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000017_1.tif,100.7197,100.7196
18,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000018_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000018_1.tif,101.5195,101.5194
19,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000019_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000019_1.tif,103.0194,103.0195
20,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000020_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000020_1.tif,104.1195,104.1195
21,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000021_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000021_1.tif,105.5697,105.5696
22,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000022_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000022_1.tif,106.4691,106.4692
23,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000023_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000023_1.tif,107.4197,107.4198
24,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000024_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000024_1.tif,108.7691,108.7690
25,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000025_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000025_1.tif,110.0197,110.0198
26,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000026_0.tif,C:/Users/dahun002/Documents/VIC/11102021_Exp/MotionStrainTest/TestAtCalibrationPoint\TestAtCalibrationPoint-cal-00000026_1.tif,111.1199,111.1199
